0,CombatZoneResize,133,251,508,391,TLResume,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,SET,Total,0,,,,,
0,:Begin,,,,,,,
0,JMPNL,End,$Total,250,,,,
0,RND,Choice,4,,,,,
0,MUL,Jump,$Choice,3,,,,
0,ADD,Jump,$Jump,1,,,,
0,JMPREL,$Jump,,,,,,
0,SET,HeightB,20,,,,,
0,ADD,Total,$Total,9,,,,
0,JMPREL,9,,,,,,
0,SET,HeightB,30,,,,,
0,ADD,Total,$Total,9,,,,
0,JMPREL,6,,,,,,
0,SET,HeightB,40,,,,,
0,ADD,Total,$Total,20,,,,
0,JMPREL,3,,,,,,
0,SET,HeightB,10,,,,,
0,ADD,Total,$Total,9,,,,
0,RND,RndSpeed,3,,,,,
0,SUB,RndSpeed,$RndSpeed,1,,,,
0,MUL,RndSpeed,$RndSpeed,2,,,,
0,JMPNE,SkipZeroSpeed,$HeightB,40,,,,
0,SET,RndSpeed,0,,,,,
0,:SkipZeroSpeed,,,,,,,
0,SUB,HeightT,111,$HeightB,,,,
0,SUB,YB,386,$HeightB,,,,
0,ADD,X,$Total,32,,,,
0,JMPNE,BoneL,$HeightB,60,,,,
0,SET,RndSpeed,-1,,,,,
0,:BoneL,,,,,,,
0,ADD,SpeedL,8,$RndSpeed,,,,
0,MUL,XL,$X,$SpeedL,,,,
0,SUB,XL,320,$XL,,,,
0,MUL,SpeedL,$SpeedL,39,,,,
0,JMPE,BoneR,$HeightB,60,,,,
0,MUL,RndSpeed,$RndSpeed,-1,,,,
0,:BoneR,,,,,,,
0,ADD,SpeedR,8,$RndSpeed,,,,
0,MUL,XR,$X,$SpeedR,,,,
0,ADD,XR,320,$XR,,,,
0,MUL,SpeedR,$SpeedR,39,,,,
0,BoneV,$XL,257,$HeightT,0,$SpeedL,,
0,BoneV,$XL,$YB,$HeightB,0,$SpeedL,,
0,BoneV,$XR,257,$HeightT,2,$SpeedR,,
0,BoneV,$XR,$YB,$HeightB,2,$SpeedR,,
0,MUL,Jump,$Choice,2,,,,
0,ADD,Jump,$Jump,1,,,,
0,JMPREL,$Jump,,,,,,
0,ADD,Total,$Total,15,,,,
0,JMPREL,6,,,,,,
0,ADD,Total,$Total,17,,,,
0,JMPREL,4,,,,,,
0,ADD,Total,$Total,19,,,,
0,JMPREL,2,,,,,,
0,ADD,Total,$Total,25,,,,
0,JMPABS,Begin,,,,,,
0,:End,,,,,,,
,,,,,,,,
10,BlackScreen,1,,,,,,
0,Sound,Flash,,,,,,
0,CombatZoneResizeInstant,133,251,508,391,0,,
0,HeartTeleport,321,376,,,,,
0,HeartMode,1,,,,,,
0,HeartMaxFallSpeed,450,,,,,,
0.1,BlackScreen,0,,,,,,
0,Sound,Flash,,,,,,
0,SansBody,HandUp,,,,,,
0,SansSlam,3,,,,,,
0,BoneVRepeat,128,250,20,0,226,6,122
0,BoneVRepeat,128,295,95,0,226,6,122
0,BoneVRepeat,503,250,20,2,220,6,122
0,BoneVRepeat,503,295,95,2,220,6,122
,,,,,,,,
4.8,EndAttack,,,,,,,
